archive_type,common_audit_coverage,common_audit_entropy_bits,common_audit_entropy_normalized,common_audit_occupied_cells,common_audit_qd_score,common_audit_total_cells,internal_entropy_bits,internal_entropy_evenness,internal_occupied_cells,internal_qd_score,method_name,problem_count
none,0.0078125,2.858932542252181,0.27009378087616287,12,2.316311854699285,1536,,,,,classic_revolution,6
grid_quantile,0.005859375,2.6377474441566418,0.24919761822273168,9,1.8525500628421014,1536,5.122438172022382,1.3111291567212506,15,2.528165836594404,landing_smooth_qd_manual_bd,6
grid_quantile,0.005859375,2.6087844071131503,0.2464613745145921,9,0.8484729129251922,1536,6.527891105792966,1.8869837087181285,11,1.8219477338308516,sr_vq_codebook_qd,6
