backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,8816725b-7a28-44fd-859d-5e0955ee4a44,initial,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,f2f1380c-90ef-4135-bb68-6c760485874c,initial,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,53d755ff-94eb-458f-80c7-59c27a0193a5,initial,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,ed557a8b-51d8-42bd-ad22-2b0272b93f98,initial,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,93ed67df-20b6-47ec-8215-79e4b7536038,initial,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,513eeadc-df6b-4ac8-af42-bb9d1bbd9c0e,initial,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,ad278e3d-469a-41de-982e-c290efd5e2ee,initial,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,0,ee5b7cc5-baf8-42bd-abc9-cd4036596c8a,initial,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,ff654204-36df-487f-b7be-b5bacccd55bc,M-I,generation_log,0.00517053640361,0.00517053640361,234,0.0428,0.49,191,0.0468,0.58,-0.225130890052,0.0854700854701,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,27997ee0-48d8-4a18-9b1e-c765fc9849f5,M-E,generation_log,-0.87254672771,-0.87254672771,410,0.0987,0.79,191,0.0468,0.58,-1.14659685864,-1.10897435897,-0.362068965517,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,9fec3a93-29a2-4ded-b719-8adf457e7499,M-S,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,d781620e-68c2-4392-ae4b-b027bdfeaf22,M-R,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,0d716acb-d2a0-4844-a6cc-336718e68af2,C-F,generation_log,-0.115166272415,-0.115166272415,245,0.057,0.49,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,cf4b724d-023e-45d7-866e-0cbd0f4e6635,C-F,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,8c81ddf3-e4cb-41be-b300-7dab121389bc,M-S,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,2,89d4200b-0b52-42c8-b308-08fa66bdd3f2,M-I,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,2,6fc9f8bf-510c-4af9-a468-1f4589a55649,M-R,generation_log,0.00417487703099,0.00417487703099,226,0.0449,0.49,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,2,b837768c-07ac-41ae-9eb4-316fba0918f8,M-I,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,2,a51a1795-750f-424b-863c-723b8fbbe387,M-I,generation_log,0.00417487703099,0.00417487703099,226,0.0449,0.49,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,2,83fb7ef0-6c5f-40f1-8b8d-c6cc6c4e9b8a,M-I,generation_log,0.00417487703099,0.00417487703099,226,0.0449,0.49,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,46925ff3-84c8-4f90-bd62-b96fb7c370ae,C-F,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,31e78ab7-6962-415f-b640-d7a587466d9f,M-R,generation_log,0.00417487703099,0.00417487703099,226,0.0449,0.49,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,f339a885-42a2-4002-b0ec-f783d8f13b77,M-E,generation_log,-0.77701537762,-0.77701537762,416,0.0935,0.67,191,0.0468,0.58,-1.1780104712,-0.997863247863,-0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,808d2cce-60f8-4d41-b9f6-6368211fa60d,C-F,generation_log,-0.00157224940579,-0.00157224940579,226,0.0449,0.5,191,0.0468,0.58,-0.183246073298,0.0405982905983,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,9423d68c-f23e-4288-8f04-983c18ecf92d,M-R,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,8c6e045b-f19f-4dd8-97c7-47a000c08cf0,C-F,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,3,b01feeb2-e92f-41b4-9055-d582fcd9e992,C-F,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,094429d7-4621-4080-8b67-8d99be7ac6a7,M-I,generation_log,-0.149440717955,-0.149440717955,254,0.0588,0.5,191,0.0468,0.58,-0.329842931937,-0.25641025641,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,67bddebc-2a26-4e80-9ade-58feb6f4f5b2,M-R,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,ab418424-3a75-4bcb-8b3e-1beec127e153,M-S,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,46a53f81-13a5-4fe8-a0ca-9c36035e9be3,C-F,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,741fa47d-6e98-4c35-ba46-673564c7defc,C-F,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,13c38cb4-b1c6-4a2e-b1ef-38acfc99b142,C-F,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,4,afb51dd4-fdc4-487a-bbe4-0fb79ce5584f,M-R,generation_log,0.144145836644,0.144145836644,225,0.0263,0.48,191,0.0468,0.58,-0.178010471204,0.438034188034,0.172413793103,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,d7450167-e5e4-4624-bbcb-bbe17e204b38,M-S,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,5ad587d1-b710-4274-90be-acdb5ed0aac6,M-I,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,3ea06eec-5db6-44ba-a622-12c112eb5b27,M-R,generation_log,-0.120913398852,-0.120913398852,245,0.057,0.5,191,0.0468,0.58,-0.282722513089,-0.217948717949,0.137931034483,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,22a42438-c682-428a-8899-edb803a6b455,M-S,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,151ba8d8-bfb3-4178-be29-9235ed1b5db2,M-R,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,d8402ca2-0f18-4ab4-8373-7d0dbd5ecb8c,M-S,generation_log,0.0733737820757,0.0733737820757,252,0.0272,0.51,191,0.0468,0.58,-0.319371727749,0.418803418803,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,5,9ac0c2d3-a778-4981-979a-b08c0ff1af1f,M-S,generation_log,-0.109218419608,-0.109218419608,242,0.0569,0.49,191,0.0468,0.58,-0.267015706806,-0.215811965812,0.155172413793,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,026f379a-c895-4be1-9951-1861d1302311,initial,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,d6f85db3-d77a-4cd3-a873-f2389718cdcf,initial,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,29f4953e-a0ce-4674-97e1-7b0701dc5970,initial,generation_log,0.351887750392,0.527831625588,86,6e-05,0,92,0.00628,0,0.0652173913043,0.990445859873,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,f34278ff-5b13-4b5c-b52f-ba1ce62869ca,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,29199377-9701-453a-a37c-3e5fefe671f7,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,069c24f3-ef37-46aa-8f88-a4e5c7c13044,initial,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,d0b6e099-1ef3-4de7-ae5e-03237383c0ba,initial,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,573386df-4791-4d2b-b840-0015c3916f18,initial,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,3281ee45-c268-48ee-b595-5df11e72e165,M-R,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,880656e8-116b-4774-88f1-52d766c673d3,C-F,generation_log,0.351887750392,0.527831625588,86,6e-05,0,92,0.00628,0,0.0652173913043,0.990445859873,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,24761733-1801-48ae-944b-328868956005,M-S,generation_log,0.161629511677,0.242444267516,138,9.49e-05,0,92,0.00628,0,-0.5,0.984888535032,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,d2829d99-f632-4023-b478-c110ca92bc7e,M-I,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,a4080fc1-6714-4111-9cd2-70f4347aee16,M-E,generation_log,0.351887750392,0.527831625588,86,6e-05,0,92,0.00628,0,0.0652173913043,0.990445859873,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,b86e3e99-1198-442f-9787-f5b3bebf5a07,M-E,generation_log,0.0841572048371,0.126235807256,159,0.000121,0,92,0.00628,0,-0.728260869565,0.980732484076,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,1,a405530e-3ff4-4d2f-a38c-a27ccb5e18b6,M-I,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,bcb37181-f237-4b50-8b7f-24f607c20131,M-E,generation_log,0.260320779101,0.390481168651,111,7.86e-05,0,92,0.00628,0,-0.20652173913,0.987484076433,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,8b847187-42b5-4d84-8c95-759e5ff7e0c1,M-E,generation_log,0.0146266038955,0.0219399058433,178,0.000134,0,92,0.00628,0,-0.934782608696,0.978662420382,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,4f97bb78-c31a-40c7-ad95-ed37cadd17b7,M-E,generation_log,0.0841572048371,0.126235807256,159,0.000121,0,92,0.00628,0,-0.728260869565,0.980732484076,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,f473c912-1af9-46a0-be31-870ba1fb109a,C-F,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,e3046294-eda9-47a7-97e7-1cdbf223f53a,M-R,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,c33c31a0-7c25-4ec5-8846-3a3e6cbe72fe,M-S,generation_log,0.161629511677,0.242444267516,138,9.49e-05,0,92,0.00628,0,-0.5,0.984888535032,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,2,55fb8f7b-febe-49e4-8311-939c1125a6dc,M-S,generation_log,0.161629511677,0.242444267516,138,9.49e-05,0,92,0.00628,0,-0.5,0.984888535032,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,9861a643-3491-4436-b0ec-b6ad89920612,M-S,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,194b7c45-a237-4883-81b7-8abcb3c7742b,M-I,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,cdd0443c-a987-4957-a1f4-a02542580a6e,M-S,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,fb1e9e06-0975-4504-afb9-73583e26ae43,C-F,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,adea2afc-6bc6-4557-9811-ce0c7ffbfbe6,C-F,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,3508bd71-18ef-4ffc-b342-111230e77a21,M-E,generation_log,0.301508123327,0.45226218499,100,5.35e-05,0,92,0.00628,0,-0.0869565217391,0.99148089172,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,b7beb24f-fd75-4d93-a85c-a7c8f8fc7068,M-I,generation_log,0.2313777347,0.347066602049,119,7.78e-05,0,92,0.00628,0,-0.29347826087,0.987611464968,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,3,dd69f75a-7931-4594-9346-de307d27f854,M-I,generation_log,0.161629511677,0.242444267516,138,9.49e-05,0,92,0.00628,0,-0.5,0.984888535032,0,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,4,b1abd4f7-5b60-4d05-aa55-d15c02af23f1,M-R,generation_log,0.351887750392,0.527831625588,86,6e-05,0,92,0.00628,0,0.0652173913043,0.990445859873,0,,
