benchmark,problem,circuit_type,ref_area,ref_power,ref_eff_clk_period,summary_path
RTLLM,Prob015_multi_pipe_8bit,sequential,980,0.0898,0.82,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit/Prob015_multi_pipe_8bit_summary.json
RTLLM,Prob024_fsm,combinational,46,0.00695,0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm/Prob024_fsm_summary.json
RTLLM,Prob041_traffic_light,combinational,170,0.0324,0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light/Prob041_traffic_light_summary.json
RTLLM,Prob045_alu,combinational,2225,0.114,0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu/Prob045_alu_summary.json
RTLLM,Prob049_signal_generator,sequential,94,0.00467,0.43,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator/Prob049_signal_generator_summary.json
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,combinational,5,0.000193,0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3/Prob116_m2014_q3_summary.json
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,combinational,5,0.000223,0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b/Prob135_m2014_q6b_summary.json
VerilogEval-Spec-to-RTL,Prob153_gshare,sequential,3025,0.437,0.75,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare/Prob153_gshare_summary.json
