cohort,profile,method,candidate_count,front_count,occupied_cells,front_cells,mean_sog_complexity_score,mean_timing_risk_score
Prob001_accu,operator_timing,classic_revolution,11,3,7,3,26.545455,22.827273
Prob002_adder_16bit,operator_timing,classic_revolution,11,1,9,1,109.000000,22.172727
Prob003_adder_32bit,operator_timing,classic_revolution,17,1,11,1,197.588235,74.867647
Prob004_adder_8bit,operator_timing,classic_revolution,8,1,7,1,58.750000,28.800000
Prob005_adder_bcd,operator_timing,classic_revolution,15,1,7,1,13.266667,16.010000
Prob007_comparator_3bit,operator_timing,classic_revolution,16,1,10,1,16.687500,13.940625
Prob008_comparator_4bit,operator_timing,classic_revolution,18,1,8,1,22.611111,22.883333
Prob009_div_16bit,operator_timing,classic_revolution,25,5,10,4,142.960000,21.700000
Prob011_multi_16bit,operator_timing,classic_revolution,14,3,9,1,63.357143,42.892857
Prob012_multi_8bit,operator_timing,classic_revolution,5,1,4,1,30.800000,21.820000
Prob015_multi_pipe_8bit,operator_timing,classic_revolution,12,5,8,4,40.000000,40.050000
Prob019_sub_64bit,operator_timing,classic_revolution,9,1,6,1,60.888889,16.433333
Prob020_JC_counter,operator_timing,classic_revolution,4,1,3,1,3.250000,11.162500
Prob021_counter_12,operator_timing,classic_revolution,8,3,7,3,15.500000,15.743750
Prob023_up_down_counter,operator_timing,classic_revolution,3,1,3,1,31.000000,15.400000
Prob024_fsm,operator_timing,classic_revolution,8,1,6,1,23.000000,18.818750
Prob025_sequence_detector,operator_timing,classic_revolution,3,1,3,1,12.000000,12.616667
Prob027_LIFObuffer,operator_timing,classic_revolution,32,6,11,4,63.406250,38.415625
Prob030_right_shifter,operator_timing,classic_revolution,3,1,3,1,6.666667,3.800000
Prob031_freq_div,operator_timing,classic_revolution,5,1,4,1,23.200000,20.400000
Prob035_calendar,operator_timing,classic_revolution,5,2,5,2,29.600000,35.620000
Prob036_edge_detect,operator_timing,classic_revolution,8,1,6,1,8.000000,8.181250
Prob037_parallel2serial,operator_timing,classic_revolution,8,1,7,1,16.875000,18.243750
Prob041_traffic_light,operator_timing,classic_revolution,17,3,12,3,42.117647,35.264706
Prob043_RAM,operator_timing,classic_revolution,11,2,11,2,39.818182,42.254545
Prob044_ROM,operator_timing,classic_revolution,3,2,3,2,91.666667,8.116667
Prob045_alu,operator_timing,classic_revolution,28,1,11,1,91.142857,86.425000
Prob047_instr_reg,operator_timing,classic_revolution,4,1,4,1,8.500000,9.400000
Prob048_pe,operator_timing,classic_revolution,5,3,3,2,11.000000,17.720000
Prob049_signal_generator,operator_timing,classic_revolution,11,4,8,4,28.090909,25.177273
Prob050_square_wave,operator_timing,classic_revolution,25,2,9,1,15.160000,18.524000
Prob001_accu,operator_timing,sr_raw_conservative_exploit_qd,13,2,9,2,36.307692,26.580769
Prob002_adder_16bit,operator_timing,sr_raw_conservative_exploit_qd,11,1,8,1,109.272727,20.954545
Prob003_adder_32bit,operator_timing,sr_raw_conservative_exploit_qd,10,1,8,1,141.300000,74.305000
Prob004_adder_8bit,operator_timing,sr_raw_conservative_exploit_qd,11,1,8,1,53.636364,31.036364
Prob005_adder_bcd,operator_timing,sr_raw_conservative_exploit_qd,17,1,6,1,13.882353,16.191176
Prob007_comparator_3bit,operator_timing,sr_raw_conservative_exploit_qd,8,1,7,1,12.375000,9.443750
Prob008_comparator_4bit,operator_timing,sr_raw_conservative_exploit_qd,20,1,12,1,23.400000,16.225000
Prob009_div_16bit,operator_timing,sr_raw_conservative_exploit_qd,16,4,8,4,151.812500,22.781250
Prob010_radix2_div,operator_timing,sr_raw_conservative_exploit_qd,3,2,3,2,124.333333,80.333333
Prob011_multi_16bit,operator_timing,sr_raw_conservative_exploit_qd,19,3,11,3,63.842105,44.013158
Prob012_multi_8bit,operator_timing,sr_raw_conservative_exploit_qd,5,1,5,1,30.800000,25.070000
Prob013_multi_booth_8bit,operator_timing,sr_raw_conservative_exploit_qd,3,1,3,1,36.666667,26.666667
Prob015_multi_pipe_8bit,operator_timing,sr_raw_conservative_exploit_qd,9,4,7,3,51.333333,43.588889
Prob018_float_multi,operator_timing,sr_raw_conservative_exploit_qd,6,4,5,4,151.166667,83.250000
Prob019_sub_64bit,operator_timing,sr_raw_conservative_exploit_qd,12,1,10,1,226.333333,28.820833
Prob020_JC_counter,operator_timing,sr_raw_conservative_exploit_qd,4,1,4,1,5.250000,9.500000
Prob021_counter_12,operator_timing,sr_raw_conservative_exploit_qd,6,2,6,2,11.833333,12.608333
Prob023_up_down_counter,operator_timing,sr_raw_conservative_exploit_qd,1,1,1,1,10.000000,10.900000
Prob024_fsm,operator_timing,sr_raw_conservative_exploit_qd,8,3,6,3,25.500000,22.481250
Prob025_sequence_detector,operator_timing,sr_raw_conservative_exploit_qd,7,2,7,2,21.428571,21.835714
Prob027_LIFObuffer,operator_timing,sr_raw_conservative_exploit_qd,26,8,12,8,72.423077,31.217308
Prob029_barrel_shifter,operator_timing,sr_raw_conservative_exploit_qd,1,1,1,1,6.000000,11.100000
Prob030_right_shifter,operator_timing,sr_raw_conservative_exploit_qd,3,1,3,1,9.333333,9.133333
Prob031_freq_div,operator_timing,sr_raw_conservative_exploit_qd,3,1,3,1,28.666667,19.266667
Prob035_calendar,operator_timing,sr_raw_conservative_exploit_qd,6,3,6,3,31.000000,32.333333
Prob036_edge_detect,operator_timing,sr_raw_conservative_exploit_qd,4,1,4,1,12.750000,10.350000
Prob037_parallel2serial,operator_timing,sr_raw_conservative_exploit_qd,3,2,3,2,17.666667,13.050000
Prob039_serial2parallel,operator_timing,sr_raw_conservative_exploit_qd,2,1,2,1,29.000000,17.725000
Prob040_synchronizer,operator_timing,sr_raw_conservative_exploit_qd,12,1,4,1,11.166667,12.387500
Prob041_traffic_light,operator_timing,sr_raw_conservative_exploit_qd,10,2,7,2,48.400000,39.570000
Prob043_RAM,operator_timing,sr_raw_conservative_exploit_qd,4,1,4,1,34.500000,39.737500
Prob044_ROM,operator_timing,sr_raw_conservative_exploit_qd,3,2,3,2,90.333333,6.450000
Prob045_alu,operator_timing,sr_raw_conservative_exploit_qd,12,1,6,1,86.916667,70.275000
Prob047_instr_reg,operator_timing,sr_raw_conservative_exploit_qd,3,1,3,1,8.666667,9.116667
Prob048_pe,operator_timing,sr_raw_conservative_exploit_qd,4,1,3,1,14.250000,15.662500
Prob049_signal_generator,operator_timing,sr_raw_conservative_exploit_qd,5,2,4,2,28.200000,21.830000
Prob050_square_wave,operator_timing,sr_raw_conservative_exploit_qd,28,3,10,3,14.464286,16.158929
Prob001_accu,state_pipeline,classic_revolution,11,3,4,2,26.545455,22.827273
Prob002_adder_16bit,state_pipeline,classic_revolution,11,1,4,1,109.000000,22.172727
Prob003_adder_32bit,state_pipeline,classic_revolution,17,1,2,1,197.588235,74.867647
Prob004_adder_8bit,state_pipeline,classic_revolution,8,1,2,1,58.750000,28.800000
Prob005_adder_bcd,state_pipeline,classic_revolution,15,1,4,1,13.266667,16.010000
Prob007_comparator_3bit,state_pipeline,classic_revolution,16,1,4,1,16.687500,13.940625
Prob008_comparator_4bit,state_pipeline,classic_revolution,18,1,3,1,22.611111,22.883333
Prob009_div_16bit,state_pipeline,classic_revolution,25,5,7,3,142.960000,21.700000
Prob011_multi_16bit,state_pipeline,classic_revolution,14,3,9,3,63.357143,42.892857
