representation,problem_group_count,all_valid_count,all_valid_area_power_front_points,selected_count,area_power_front_points,selected_all_valid_front_hits,unique_ppa_points
fitness_top,114,682,133,341,122,122,159
generation_prefix,114,682,133,341,124,110,163
lexical_farthest,114,682,133,341,127,122,183
random,114,682,133,341,128,107,166
t33_canonical_rtl_farthest,114,682,133,341,129,120,183
t33_canonical_yosys_netlist_farthest,114,682,133,341,127,119,186
t33_commentless_rtl_farthest,114,682,133,341,130,123,180
t33_identifier_role_rtl_farthest,114,682,133,341,129,120,184
t33_raw_rtl_farthest,114,682,133,341,128,117,177
t33_summary_plus_netlist_farthest,114,682,133,341,129,121,188
