backend,benchmark,problem,circuit_type,generation,candidate_id,strategy,source,score_from_run,ppa_score,area,power,eff_clk_period,ref_area,ref_power,ref_eff_clk_period,g_A,g_P,g_T,candidate_dir,report_path
classic_revolution_8x5,RTLLM,Prob001_accu,sequential,1,fb028dfc-8854-48cc-8728-172ccbcc4d5c,M-I,generation_log,0.053143624411,0.053143624411,264,0.0271,0.51,191,0.0468,0.58,-0.38219895288,0.42094017094,0.120689655172,,
classic_revolution_8x5,RTLLM,Prob002_adder_16bit,combinational,0,a1ec868e-5a65-4ef3-ad2d-1bba3e8ea3b1,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,,
classic_revolution_8x5,RTLLM,Prob003_adder_32bit,combinational,0,68530992-1c30-4060-9af7-f6580b9df5dc,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,,
classic_revolution_8x5,RTLLM,Prob004_adder_8bit,combinational,1,bc16371f-3525-4bff-9181-0452c89e6e64,M-E,generation_log,0.381544128268,0.572316192402,39,2.27e-05,0,46,0.00301,0,0.152173913043,0.992458471761,0,,
classic_revolution_8x5,RTLLM,Prob005_adder_bcd,combinational,0,33df80ac-df45-49ef-905b-ab66a831c0d6,initial,generation_log,0.396983075791,0.595474613687,36,4.1e-05,0,45,0.00453,0,0.2,0.990949227373,0,,
classic_revolution_8x5,RTLLM,Prob007_comparator_3bit,combinational,1,ac5bba4e-4024-40dc-b5c0-fa22ba621d10,M-I,generation_log,0.329955827387,0.494933741081,17,9.94e-06,0,17,0.000981,0,0,0.989867482161,0,,
classic_revolution_8x5,RTLLM,Prob008_comparator_4bit,combinational,1,0c8eb465-5c05-43f7-ac9c-16aa61011ef2,C-F,generation_log,0.452695454545,0.679043181818,21,1.11e-05,0,33,0.002,0,0.363636363636,0.99445,0,,
classic_revolution_8x5,RTLLM,Prob009_div_16bit,combinational,3,7433714d-1810-4735-86f1-cc10f4d8a7a8,M-R,generation_log,0.559147775542,0.838721663313,1455,0.0996,0,6390,1.05,0,0.772300469484,0.905142857143,0,,
classic_revolution_8x5,RTLLM,Prob011_multi_16bit,sequential,3,46a5999c-ad2b-4932-ac56-5cdedb91e718,M-I,generation_log,0.312920711741,0.312920711741,1041,0.0925,0.66,1064,0.18,1.16,0.0216165413534,0.486111111111,0.431034482759,,
classic_revolution_8x5,RTLLM,Prob012_multi_8bit,combinational,2,de068daf-8ff7-4204-a40d-d0a8249c4dcb,M-I,generation_log,0.460781003025,0.691171504537,364,0.000613,0,596,0.0886,0,0.389261744966,0.993081264108,0,,
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,sequential,1,9a2b6825-4ca8-4d5e-b9f5-5d3ca7107193,M-S,generation_log,0.141258693711,0.141258693711,568,0.0665,1.03,980,0.0898,0.82,0.420408163265,0.259465478842,-0.256097560976,,
classic_revolution_8x5,RTLLM,Prob019_sub_64bit,combinational,2,17de5311-e80e-47b5-9f94-7872ac08b409,M-E,generation_log,0.453809989108,0.680714983662,392,0.000302,0,621,0.0412,0,0.368760064412,0.992669902913,0,,
classic_revolution_8x5,RTLLM,Prob020_JC_counter,sequential,0,465fee53-e186-4012-93a4-e1d80e0db81d,initial,generation_log,-0,0,340,0.0351,0.13,340,0.0351,0.13,0,0,0,,
classic_revolution_8x5,RTLLM,Prob021_counter_12,sequential,2,d0c28482-6392-4112-a6fd-cc70515907b6,M-I,generation_log,0.330556342239,0.330556342239,35,0.00205,0.28,44,0.00963,0.28,0.204545454545,0.78712357217,0,,
classic_revolution_8x5,RTLLM,Prob023_up_down_counter,sequential,2,4b99651f-95b3-4d97-98d9-d5d0ba2eed6d,M-I,generation_log,0.0336459098098,0.0336459098098,207,0.0407,0.52,259,0.0358,0.54,0.200772200772,-0.13687150838,0.037037037037,,
classic_revolution_8x5,RTLLM,Prob024_fsm,combinational,4,30fb1363-78cd-4c42-a130-2cdbe20a2dc2,M-S,generation_log,0.631618183714,0.522427275571,26,0.00271,0.15,46,0.00695,0,0.434782608696,0.610071942446,-150000000000,,
classic_revolution_8x5,RTLLM,Prob025_sequence_detector,sequential,4,ceb4b903-6890-4cd4-a343-d684555dd823,M-R,generation_log,0.252396455055,0.252396455055,26,0.00278,0.16,38,0.00388,0.19,0.315789473684,0.283505154639,0.157894736842,,
classic_revolution_8x5,RTLLM,Prob027_LIFObuffer,sequential,4,4697723c-aad8-4f7a-9958-4d148b2737ad,M-R,generation_log,0.210569306865,0.210569306865,235,0.0244,0.39,299,0.0419,0.39,0.214046822742,0.417661097852,0,,
classic_revolution_8x5,RTLLM,Prob030_right_shifter,sequential,0,68702633-591c-4008-836d-d333f45f6cbd,initial,generation_log,-0,0,36,0.00369,0.12,36,0.00369,0.12,0,0,0,,
classic_revolution_8x5,RTLLM,Prob031_freq_div,combinational,2,df6f1b73-a78a-4fb2-8bd1-cf3b73437154,C-F,generation_log,0.209057128664,0.313585692996,101,0.000379,0,125,0.000671,0,0.192,0.435171385991,0,,
classic_revolution_8x5,RTLLM,Prob035_calendar,sequential,5,ecd00450-89c6-49f1-ae7b-1297d979e36f,C-F,generation_log,0.0199808276451,0.0199808276451,185,0.0117,0.4,196,0.0124,0.38,0.0561224489796,0.0564516129032,-0.0526315789474,,
classic_revolution_8x5,RTLLM,Prob036_edge_detect,sequential,4,c9f70ed4-1092-464c-9497-9893199c2253,M-R,generation_log,-1.2266155585,0.734168755221,9,0.000612,0,19,0.00189,0.17,0.526315789474,0.67619047619,1,,
classic_revolution_8x5,RTLLM,Prob037_parallel2serial,sequential,5,3a959281-6ee5-475d-9059-5dd41985d198,M-E,generation_log,0.00886109067125,0.00886109067125,53,0.00397,0.28,50,0.00453,0.27,-0.06,0.123620309051,-0.037037037037,,
classic_revolution_8x5,RTLLM,Prob038_pulse_detect,sequential,4,bd0be5b4-74db-4cf2-ba6b-807de6ea60d5,M-S,generation_log,0.278914464336,0.278914464336,13,0.00101,0.14,17,0.00138,0.21,0.235294117647,0.268115942029,0.333333333333,,
classic_revolution_8x5,RTLLM,Prob039_serial2parallel,sequential,0,fdce0b69-d93b-433c-8661-230cce8e88c2,initial,generation_log,-0.189915966387,-0.189915966387,172,0.036,0.31,168,0.0238,0.3,-0.0238095238095,-0.512605042017,-0.0333333333333,,
classic_revolution_8x5,RTLLM,Prob041_traffic_light,combinational,5,f0ce8162-b2d7-479b-9c85-7f83b2821753,M-S,generation_log,0.442258533043,0.663387799564,113,0.000276,0,170,0.0324,0,0.335294117647,0.991481481481,0,,
classic_revolution_8x5,RTLLM,Prob043_RAM,sequential,2,d78428b5-eb09-4bab-9ac0-42b55b75fb59,M-I,generation_log,0.426122637576,0.426122637576,422,0.0617,0.18,734,0.109,0.31,0.425068119891,0.433944954128,0.41935483871,,
classic_revolution_8x5,RTLLM,Prob044_ROM,combinational,0,fbccbae3-79d8-4267-b16c-97d391eccab6,initial,generation_log,0.329430894309,0.494146341463,14,2.4e-06,0,14,0.000205,0,0,0.988292682927,0,,
classic_revolution_8x5,RTLLM,Prob045_alu,combinational,4,2d13f966-dcf3-4a69-acee-82c279c04b44,M-E,generation_log,0.41105470136,0.61658205204,1688,0.000933,0,2225,0.114,0,0.241348314607,0.991815789474,0,,
classic_revolution_8x5,RTLLM,Prob047_instr_reg,sequential,0,ecfd7d2d-1876-47fe-82ca-0b498182c28c,initial,generation_log,-0.016372440449,-0.016372440449,123,0.0131,0.18,119,0.0129,0.18,-0.0336134453782,-0.015503875969,0,,
classic_revolution_8x5,RTLLM,Prob048_pe,sequential,2,482cb64c-4e52-406d-a14c-1754f0c208f9,M-S,generation_log,0.0150051495238,0.0150051495238,3400,0.423,1.62,3451,0.451,1.57,0.0147783251232,0.0620842572062,-0.031847133758,,
classic_revolution_8x5,RTLLM,Prob049_signal_generator,sequential,3,1180707f-562f-421a-8b36-ae783f0ab211,C-F,generation_log,0.263803228132,0.263803228132,76,0.00252,0.37,94,0.00467,0.43,0.191489361702,0.460385438972,0.139534883721,,
classic_revolution_8x5,RTLLM,Prob050_square_wave,sequential,2,c59fc1a7-1f1d-4997-b4bf-953b73254f55,C-F,generation_log,0.145726306717,0.145726306717,106,0.0192,0.34,119,0.0247,0.38,0.109243697479,0.222672064777,0.105263157895,,
s09_front_slot_lane_020,RTLLM,Prob001_accu,sequential,2,447737cc-df96-46b9-8ab7-e9f53d03e81d,M-I,generation_log,0.144145836644,0.144145836644,225,0.0263,0.48,191,0.0468,0.58,-0.178010471204,0.438034188034,0.172413793103,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_134750_UTC/live/front_slot_lane_020/seed_1002/openai_gpt-oss-120b/RTLLM/Prob001_accu/Gen2/Prob001_accu_sample1_M-I,
s09_front_slot_lane_020,RTLLM,Prob002_adder_16bit,combinational,0,1dea1b93-38cb-41fb-bd87-40dfe3d46d05,initial,generation_log,0.399902150835,0.599853226253,73,4.28e-05,0,92,0.00628,0,0.20652173913,0.993184713376,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_134750_UTC/live/front_slot_lane_020/seed_1002/openai_gpt-oss-120b/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_sample2_initial,
s09_front_slot_lane_020,RTLLM,Prob003_adder_32bit,combinational,0,cf9fff77-c7b1-47ea-9c31-a39f88a5eb8e,initial,generation_log,0.557887684966,0.836831527449,137,7.97e-05,0,423,0.0324,0,0.676122931442,0.997540123457,0,/workspace/exp/natural_qd_push/suite_variants_wave_b_20260709_134750_UTC/live/front_slot_lane_020/seed_1002/openai_gpt-oss-120b/RTLLM/Prob003_adder_32bit/Gen0/Prob003_adder_32bit_sample1_initial,
