functionality_pass,functionality_rate,method_name,openroad_pass,openroad_rate,syntax_pass,syntax_rate,synthesis_pass,synthesis_rate,total_candidates,valid_ppa,valid_ppa_rate
209,0.7256944444444444,classic_revolution,209,0.7256944444444444,275,0.9548611111111112,209,0.7256944444444444,288,209,0.7256944444444444
219,0.7604166666666666,landing_smooth_qd_manual_bd,219,0.7604166666666666,275,0.9548611111111112,219,0.7604166666666666,288,219,0.7604166666666666
197,0.6840277777777778,sr_rff_pca_qd,197,0.6840277777777778,246,0.8541666666666666,197,0.6840277777777778,288,197,0.6840277777777778
