representation,problem_group_count,all_valid_count,all_valid_area_power_front_points,selected_count,area_power_front_points,selected_all_valid_front_hits,unique_ppa_points
fitness_top,114,682,133,341,122,122,159
generation_prefix,114,682,133,341,124,110,163
lexical_farthest,114,682,133,341,127,122,183
random,114,682,133,341,128,107,166
t11_contrast_top64_farthest,114,682,133,341,128,120,186
t11_contrast_weighted_farthest,114,682,133,341,128,120,186
t35_top64_cell_pareto,114,682,133,341,131,126,162
t35_top64_front_seeded,114,682,133,341,132,132,171
t35_weighted_cell_pareto,114,682,133,341,131,126,162
t37_top64_slot_0,114,682,133,341,128,120,186
t37_top64_slot_1,114,682,133,341,127,126,180
t37_top64_slot_2,114,682,133,341,129,123,166
t37_top64_slot_3,114,682,133,341,131,126,162
t37_weighted_slot_1,114,682,133,341,127,126,180
t37_weighted_slot_2,114,682,133,341,129,123,166
