backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
classic,RTLLM,Prob004_adder_8bit,2,7,1,0.1510262891809909,2,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
fused_rtl_operator_timing_qd,RTLLM,Prob004_adder_8bit,2,1,1,0.1510262891809909,1,0.15217391304347827,0.9924584717607973,0.0,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob004_adder_8bit
classic,RTLLM,Prob015_multi_pipe_8bit,3,11,9,0.0,0,0.3877551020408163,0.3841870824053452,0.39024390243902446,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
fused_rtl_operator_timing_qd,RTLLM,Prob015_multi_pipe_8bit,3,6,1,0.0,0,0.3877551020408163,0.026726057906458787,-0.2560975609756097,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob015_multi_pipe_8bit
classic,RTLLM,Prob024_fsm,2,11,2,0.14494838911479507,8,0.3695652173913043,0.4633093525179856,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
fused_rtl_operator_timing_qd,RTLLM,Prob024_fsm,2,7,2,0.14588676884579288,4,0.3695652173913043,0.46762589928057546,0.0,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob024_fsm
classic,RTLLM,Prob037_parallel2serial,3,6,1,0.0003482953151827327,1,0.06,0.1567328918322296,0.03703703703703707,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial
fused_rtl_operator_timing_qd,RTLLM,Prob037_parallel2serial,3,2,2,0.0,0,0.0,0.0,0.03703703703703707,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob037_parallel2serial
classic,RTLLM,Prob041_traffic_light,2,15,2,0.3066920842411039,14,0.32941176470588235,0.9915123456790125,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
fused_rtl_operator_timing_qd,RTLLM,Prob041_traffic_light,2,16,2,0.2213602033405955,10,0.2235294117647059,0.9909259259259259,0.0,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob041_traffic_light
classic,RTLLM,Prob045_alu,2,9,1,0.19035126355213877,9,0.19191011235955055,0.9918771929824561,0.0,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
fused_rtl_operator_timing_qd,RTLLM,Prob045_alu,2,11,2,0.17189623496944606,11,0.17348314606741572,0.9908771929824561,0.0,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob045_alu
classic,RTLLM,Prob049_signal_generator,3,5,3,0.012809822347153601,3,0.22340425531914893,0.46038543897216266,0.16279069767441862,/workspace/exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
fused_rtl_operator_timing_qd,RTLLM,Prob049_signal_generator,3,2,2,0.00997131828859078,2,0.18085106382978725,0.46038543897216266,0.13953488372093023,/workspace/exp/useful_bd_push/t64_fused_operator_timing_20260623_144117_UTC/hard_tuning/fused_rtl_operator_timing_qd/seed_1001/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
